N,best_window_start,a_scale,b_offset,MAPE_train_%,MAPE_valid_%,quad_coeff_train,quad_coeff_valid
160,46,668.3582909282951,-101.56172979964832,3.2973003962939416,1.1672186209148128,0.019189922135104388,0.017937912074217056
180,52,745.7241215814253,-117.36664889741922,3.6490625872229363,1.1091353451977153,0.0239107205947913,0.026012042733056576
200,57,805.1271763451886,-125.57684561890244,3.9173019895898866,1.110718538392118,0.012759990540271132,0.010202423312636207
220,63,873.9105792295125,-139.40424741885596,3.912929057899052,1.2312101591981952,0.016882407204984923,-0.009812929391615245
240,68,912.8025275655663,-142.90837012748165,5.110909308086783,1.0683783063196752,0.0037262021998358645,-0.018919636424152914
260,91,1133.947157241782,-239.90102551394088,5.201229865242041,0.9562477671070765,0.03223577842396717,0.02201854667073582
280,101,1237.2878735033778,-273.09548318001004,4.914788928875115,0.9412804615832148,0.029261855393230327,0.019399035972292145
300,111,1343.4519642766004,-307.1893226169362,4.694453648159193,0.9378084989625277,0.024927259792539888,0.0181033258953588
